"National Life Tables, England",,,,,,,,,,Back to contents,
,,,,,,,,,,,
Period expectation of life,,,,,,,,,,Office for National Statistics,
Based on data for the years 2016-2018,,,,,,,,,,,
,,,,,,,,,,,
Age,Males,,,,,,Females,,,,
x,mx,qx,lx,dx,ex,,mx,qx,lx,dx,ex
86,0.112884,0.106853,37703.6,4028.7,5.51,,0.086400,0.082822,50528.3,4184.9,6.35
87,0.127226,0.119617,33674.9,4028.1,5.11,,0.098721,0.094077,46343.5,4359.9,5.88
88,0.143320,0.133736,29646.8,3964.9,4.74,,0.113032,0.106986,41983.6,4491.7,5.43
89,0.161966,0.149832,25681.9,3848.0,4.39,,0.127605,0.119952,37492.0,4497.2,5.03
90,0.176975,0.162588,21834.0,3549.9,4.08,,0.145324,0.135480,32994.7,4470.1,4.64
91,0.196295,0.178751,18284.0,3268.3,3.78,,0.163794,0.151395,28524.6,4318.5,4.29
92,0.220472,0.198581,15015.7,2981.8,3.49,,0.183254,0.167872,24206.1,4063.5,3.97
93,0.245524,0.218678,12033.9,2631.6,3.23,,0.203979,0.185100,20142.6,3728.4,3.67
94,0.269267,0.237316,9402.3,2231.3,2.99,,0.227785,0.204495,16414.2,3356.6,3.39
95,0.302352,0.262646,7171.0,1883.4,2.77,,0.258112,0.228609,13057.6,2985.1,3.13
96,0.333209,0.285623,5287.6,1510.3,2.58,,0.282314,0.247393,10072.5,2491.9,2.91
97,0.363348,0.307486,3777.3,1161.5,2.41,,0.310398,0.268697,7580.6,2036.9,2.70
98,0.384296,0.322356,2615.9,843.2,2.26,,0.337055,0.288444,5543.7,1599.1,2.51
99,0.443859,0.363244,1772.6,643.9,2.10,,0.373322,0.314599,3944.7,1241.0,2.33
100,0.486350,0.391216,1128.7,441.6,2.01,,0.405058,0.336838,2703.7,910.7,2.16
